Invoice ID,Branch,City,Customer type,Gender,Payment
750-67-8428,A,Yangon,Member,Female,Ewallet
226-31-3081,C,Naypyitaw,Normal,Female,Cash
631-41-3108,A,Yangon,Normal,Male,Credit card
123-19-1176,A,Yangon,Member,Male,Ewallet
373-73-7910,A,Yangon,Normal,Male,Ewallet
699-14-3026,C,Naypyitaw,Normal,Male,Ewallet
355-53-5943,A,Yangon,Member,Female,Ewallet
315-22-5665,C,Naypyitaw,Normal,Female,Ewallet
665-32-9167,A,Yangon,Member,Female,Credit card
692-92-5582,B,Mandalay,Member,Female,Credit card
351-62-0822,B,Mandalay,Member,Female,Ewallet
529-56-3974,B,Mandalay,Member,Male,Cash
365-64-0515,A,Yangon,Normal,Female,Ewallet
252-56-2699,A,Yangon,Normal,Male,Ewallet
829-34-3910,A,Yangon,Normal,Female,Cash
299-46-1805,B,Mandalay,Member,Female,Cash
656-95-9349,A,Yangon,Member,Female,Credit card
765-26-6951,A,Yangon,Normal,Male,Credit card
329-62-1586,A,Yangon,Normal,Male,Credit card
319-50-3348,B,Mandalay,Normal,Female,Ewallet
300-71-4605,C,Naypyitaw,Member,Male,Ewallet
371-85-5789,B,Mandalay,Normal,Male,Ewallet
273-16-6619,B,Mandalay,Normal,Male,Credit card
636-48-8204,A,Yangon,Normal,Male,Ewallet
549-59-1358,A,Yangon,Member,Male,Ewallet
227-03-5010,A,Yangon,Member,Female,Credit card
649-29-6775,B,Mandalay,Normal,Male,Cash
189-17-4241,A,Yangon,Normal,Female,Credit card
145-94-9061,B,Mandalay,Normal,Female,Cash
848-62-7243,A,Yangon,Normal,Male,Cash
871-79-8483,B,Mandalay,Normal,Male,Credit card
149-71-6266,B,Mandalay,Member,Male,Cash
640-49-2076,B,Mandalay,Normal,Male,Cash
595-11-5460,A,Yangon,Normal,Male,Credit card
183-56-6882,C,Naypyitaw,Member,Female,Ewallet
232-16-2483,C,Naypyitaw,Member,Female,Ewallet
129-29-8530,A,Yangon,Member,Male,Ewallet
272-65-1806,A,Yangon,Normal,Female,Ewallet
333-73-7901,C,Naypyitaw,Normal,Female,Ewallet
777-82-7220,B,Mandalay,Member,Male,Cash
280-35-5823,B,Mandalay,Member,Female,Ewallet
554-53-8700,C,Naypyitaw,Member,Male,Cash
354-25-5821,B,Mandalay,Member,Female,Cash
228-96-1411,C,Naypyitaw,Member,Female,Cash
617-15-4209,C,Naypyitaw,Member,Male,Cash
132-32-9879,B,Mandalay,Member,Female,Cash
370-41-7321,B,Mandalay,Member,Male,Credit card
727-46-3608,B,Mandalay,Member,Female,Ewallet
669-54-1719,B,Mandalay,Member,Male,Credit card
574-22-5561,C,Naypyitaw,Member,Female,Ewallet
326-78-5178,C,Naypyitaw,Member,Male,Cash
162-48-8011,A,Yangon,Member,Female,Cash
616-24-2851,B,Mandalay,Member,Female,Ewallet
778-71-5554,C,Naypyitaw,Member,Male,Credit card
242-55-6721,B,Mandalay,Normal,Male,Ewallet
399-46-5918,C,Naypyitaw,Normal,Female,Cash
106-35-6779,A,Yangon,Member,Male,Cash
635-40-6220,A,Yangon,Normal,Male,Ewallet
817-48-8732,A,Yangon,Member,Female,Cash
120-06-4233,C,Naypyitaw,Normal,Male,Cash
285-68-5083,C,Naypyitaw,Member,Female,Credit card
803-83-5989,C,Naypyitaw,Normal,Male,Ewallet
347-34-2234,B,Mandalay,Member,Female,Ewallet
199-75-8169,A,Yangon,Member,Male,Credit card
853-23-2453,B,Mandalay,Member,Male,Cash
877-22-3308,A,Yangon,Member,Male,Cash
838-78-4295,C,Naypyitaw,Normal,Female,Ewallet
109-28-2512,B,Mandalay,Member,Female,Ewallet
232-11-3025,A,Yangon,Normal,Male,Cash
382-03-4532,A,Yangon,Member,Female,Cash
393-65-2792,C,Naypyitaw,Normal,Male,Credit card
796-12-2025,C,Naypyitaw,Normal,Male,Cash
510-95-6347,B,Mandalay,Member,Female,Ewallet
841-35-6630,C,Naypyitaw,Normal,Female,Cash
287-21-9091,A,Yangon,Normal,Male,Ewallet
732-94-0499,C,Naypyitaw,Normal,Female,Credit card
263-10-3913,C,Naypyitaw,Member,Male,Credit card
381-20-0914,A,Yangon,Member,Female,Credit card
829-49-1914,C,Naypyitaw,Member,Female,Ewallet
756-01-7507,C,Naypyitaw,Normal,Female,Cash
870-72-4431,C,Naypyitaw,Normal,Female,Credit card
847-38-7188,B,Mandalay,Normal,Female,Ewallet
480-63-2856,C,Naypyitaw,Normal,Male,Ewallet
787-56-0757,C,Naypyitaw,Member,Female,Credit card
360-39-5055,C,Naypyitaw,Member,Male,Cash
730-50-9884,C,Naypyitaw,Normal,Female,Ewallet
362-58-8315,C,Naypyitaw,Normal,Male,Cash
633-44-8566,A,Yangon,Member,Male,Credit card
